gene_symbol,cluster
GADD45A,8
BIN1,8
CYSLTR2,8
IL1R1,8
NOD1,8
KLF7,8
SPRED1,8
DGKH,8
OGFRL1,8
TXNRD1,8
CORO2B,8
SRPX,8
RAB27A,8
ADAMTSL3,8
LOX,8
ANO5,8
RSPO3,8
AFF2,8
ATP2A2,8
SAA4,8
RANBP17,8
PABPC4,8
CDK2AP1,8
COL4A5,8
LRIG1,8
METTL26,8
MFSD4B,8
SHOC1,8
LPIN1,8
SDC2,8
PTX3,8
KDM6B,8
KLF10,8
CTHRC1,8
RERG,8
IL18,8
MALRD1,8
MROH9,8
GLIS3,8
FAM13C,8
PTPN2,8
AKR1C2,8
ADAMTS3,8
LPIN2,8
GCH1,8
ANGPTL1,8
NAV1,8
SMURF2,8
GALNT15,8
ABLIM2,8
KIAA1958,8
ADAMTSL1,8
FAR2,8
INTS6,8
TIPARP,8
PTPN1,8
MXI1,8
ERO1B,8
NDUFAF3,8
ANKRD33B,8
COPS6,8
LRRC8B,8
TES,8
FARP1,8
SNCG,8
F3,8
VCL,8
USP54,8
ITGA5,8
SMARCA4,8
CDH23,8
INSIG1,8
EYA1,8
NOS1AP,8
CDADC1,9
TIMP4,9
AMOTL1,9
GLIPR1L1,9
BMAL2,9
MCRS1,9
GRB14,9
SCN11A,9
IRS1,9
OBSL1,9
MOGAT1,9
TUBGCP5,9
LRGUK,9
ITPKC,9
LONRF1,9
SLC39A14,9
MRI1,9
DOCK6,9
MCOLN1,9
KCNA2,9
TRIP10,9
LINGO3,9
SGMS2,9
GPR39,9
MBD3,9
WDR18,9
FSTL3,9
SLC19A2,9
DAPK3,9
TWSG1,9
TLCD4,9
VEGFC,9
NPHP4,9
MAMLD1,9
SLC29A1,9
TNFRSF21,9
FAM199X,9
SLC25A33,9
PGM3,9
PUS7,9
RAI2,9
THAP7,9
AK4,9
FAM20C,9
URB1,9
ZGPAT,9
NPEPL1,9
CFAP69,9
PNPLA3,9
GPS1,9
SLC9B2,9
HDHD3,9
VEPH1,9
ZNF19,9
RPP38,9
DZIP1L,9
ALG3,9
CENPT,9
TP53I13,9
KCTD3,9
CRACR2B,9
ARRDC4,9
REXO4,9
AARSD1,9
MPP3,9
ATXN7L3,9
HSF4,9
B3GALNT2,9
ACSF2,9
NIT2,9
RRP12,9
STON1,9
E2F4,9
RANGRF,9
ZNRF3,10
ASCC2,10
STK40,10
ABCC1,10
JDP2,10
ADGRG2,10
IFFO2,10
MIIP,10
DNAJC27,10
RASL11A,10
GPATCH11,10
ALPK3,10
SPRY3,10
TUBGCP6,10
IRX6,10
CDC42EP4,10
PNMA1,10
FASN,10
TEX2,10
B4GALT6,10
METTL17,10
PDE11A,10
MLX,10
DOT1L,10
MMP28,10
ADAMTS10,10
TRMT1,10
COL5A2,10
UCHL3,10
ADAM15,10
SREBF1,10
RRP15,10
MVD,10
OXLD1,10
PGM1,10
VPS4A,10
PXDC1,10
ACER2,10
ANAPC13,10
ADRA2A,10
NAPRT,10
GPT,10
PER2,10
NOC3L,10
SLC1A1,10
CDC37L1,10
IQCM,10
MFHAS1,10
SRFBP1,10
GCLC,10
TNFRSF10B,10
SIAH2,10
UGDH,10
FGF10,10
TMEM120B,10
CLPTM1L,10
CCDC71L,10
MET,10
CSKMT,10
CNPPD1,10
WWC1,10
B3GAT3,10
SPATA9,10
HMGXB3,10
NEK6,10
ZNF143,10
MLF1,10
RGS17,10
NEO1,11
EPAS1,11
EDNRA,11
FILIP1L,11
CLIP1,11
CMSS1,11
MYO1E,11
TECR,11
ECH1,11
LEP,11
PLD1,11
FBN1,11
PALLD,11
RAB11A,11
DNMT1,11
STIM1,11
PLEKHA7,11
AKR1C1,11
DPP7,11
SVIL,11
RASD1,11
MPRIP,11
ACACA,11
DEPP1,11
CTSL,11
ENAH,11
CALB2,11
B4GALT1,11
ATF6,11
MOB3B,11
CNNM2,11
KHDRBS3,11
FGFR2,11
NDRG1,11
PHF20,11
CCDC102B,11
PKD2,11
FBXO32,11
SYBU,11
ALK,11
BMAL1,11
MYOF,11
LMO4,11
TASOR2,11
RARB,11
NABP1,11
ARHGEF6,11
SLC4A7,11
CLIC4,11
SFXN1,11
ACTN1,11
RPS6KA3,11
TNFRSF25,11
BMPER,11
SFRP4,11
FGF1,11
CASP4,11
CITED2,11
LIFR,11
COL12A1,11
CNPY2,11
DGKD,11
CHRDL1,11
ORMDL1,11
MYH9,12
NCALD,12
ATP6V0B,12
MCTP2,12
MAP7,12
CCND1,12
NREP,12
KLF4,12
MTSS1,12
RERGL,12
NIBAN1,12
RCAN2,12
BICD1,12
F5,12
ADAMTS18,12
CPNE4,12
COL4A3,12
SETBP1,12
SDCBP,12
PRUNE2,12
TFPI,12
KLHL32,12
CFH,12
PDLIM1,12
COL4A4,12
ACTA2,12
STEAP4,12
DDIT4,12
FAT3,12
CHI3L2,12
ATF3,12
VAV3,12
MYADM,12
NFATC2,12
MEIS2,12
CADPS2,12
SERPINB1,12
RPS6KA5,12
PTGER4,12
IL1RL1,12
TNFAIP6,12
RANBP3L,12
MYL9,12
NNAT,12
OTUD7A,12
UST,12
IL6,12
TMTC2,12
HDAC9,12
PSD3,12
PTH2R,12
STK10,12
ANGPTL8,12
CECR2,12
CDKN1A,12
C11orf96,12
ADAMTS1,12
ST8SIA4,12
DNAJB1,12
NFKBIZ,12
ALCAM,12
ACLY,13
SLC25A25,13
PPARGC1B,13
PLA2G4A,13
ASS1,13
SLC39A7,13
ZFY,13
COL27A1,13
P3H2,13
ARID3A,13
HDX,13
SH3RF1,13
PRKAA1,13
ERV3-1,13
RCAN1,13
CLIC6,13
SPAG17,13
TNFRSF10D,13
ELL,13
KANK4,13
CLTCL1,13
SPSB1,13
